task,item_id,repeat,condition,model,provider,gold,raw_output,prediction,content_for_embedding,correct,persona_text
gsm8k,15,0,no_cot,gpt-4.1,openai,125,FINAL_ANSWER: $125,125,125,1.0,
gsm8k,55,0,no_cot,gpt-4.1,openai,14,FINAL_ANSWER: 14,14,14,1.0,
gsm8k,57,0,no_cot,gpt-4.1,openai,83,FINAL_ANSWER: 83,83,83,1.0,
gsm8k,66,0,no_cot,gpt-4.1,openai,48,FINAL_ANSWER: 48,48,48,1.0,
gsm8k,176,0,no_cot,gpt-4.1,openai,100,FINAL_ANSWER: 100,100,100,1.0,
gsm8k,187,0,no_cot,gpt-4.1,openai,106,FINAL_ANSWER: $106.12,106.12,106.12,0.0,
gsm8k,222,0,no_cot,gpt-4.1,openai,140,FINAL_ANSWER: 140,140,140,1.0,
gsm8k,237,0,no_cot,gpt-4.1,openai,90,FINAL_ANSWER: $90,90,90,1.0,
gsm8k,238,0,no_cot,gpt-4.1,openai,68,FINAL_ANSWER: 65,65,65,0.0,
gsm8k,289,0,no_cot,gpt-4.1,openai,16,FINAL_ANSWER: 16 hours,16,16,1.0,
gsm8k,400,0,no_cot,gpt-4.1,openai,48,FINAL_ANSWER: 48,48,48,1.0,
gsm8k,463,0,no_cot,gpt-4.1,openai,18,FINAL_ANSWER: $18,18,18,1.0,
gsm8k,479,0,no_cot,gpt-4.1,openai,15400,"FINAL_ANSWER: $13,900",13900,13900,0.0,
gsm8k,480,0,no_cot,gpt-4.1,openai,11,FINAL_ANSWER: 14,14,14,0.0,
gsm8k,588,0,no_cot,gpt-4.1,openai,52,FINAL_ANSWER: 54 WPM,54,54,0.0,
gsm8k,599,0,no_cot,gpt-4.1,openai,48,FINAL_ANSWER: 54,54,54,0.0,
gsm8k,608,0,no_cot,gpt-4.1,openai,8,FINAL_ANSWER: $10,10,10,0.0,
gsm8k,616,0,no_cot,gpt-4.1,openai,10,FINAL_ANSWER: 10 inches,10,10,1.0,
gsm8k,618,0,no_cot,gpt-4.1,openai,36,FINAL_ANSWER: 36,36,36,1.0,
gsm8k,672,0,no_cot,gpt-4.1,openai,2,FINAL_ANSWER: 2,2,2,1.0,
gsm8k,730,0,no_cot,gpt-4.1,openai,8,FINAL_ANSWER: 8,8,8,1.0,
gsm8k,772,0,no_cot,gpt-4.1,openai,50,FINAL_ANSWER: 60%,60,60,0.0,
